Sector,Job role,Employment type,Gender,Age group,Remote work,Work hours increase (%),Productivity change (%),Stress level (1-10),"Job satisfaction (-5,5)",Income change (%),Tech tools use increase (%),Health impact (1-10),"Family work balance impact (-5,5)",Company support level (1-10),"Job satisfaction (-5,5))",Productivity change (%
manufacturing,manager,self-employed,male,25-34,often,5.09,6.41,3.0,6.0,-17.5,21.69,7.0,-4.0,4.0,-0.2,6.41%
finance,manager,full-time,male,35-44,occasionally,6.8,-19.65,1.0,4.0,-2.89,32.34,8.0,-4.0,8.0,,-19.65%
education,manager,self-employed,other,18-24,always,17.44,-14.79,6.0,4.5,-12.3,35.78,9.0,-2.0,8.0,,-14.79%
other,staff,unemployed,female,25-34,occasionally,1.97,-13.67,9.0,-0.2,-22.77,36.26,2.0,-3.0,2.0,,-13.67%
technology,executive,part-time,female,55+,occasionally,17.67,13.13,8.0,-0.2,-16.12,28.91,3.0,-5.0,6.0,,13.13%
healthcare,freelancer,full-time,other,55+,often,39.03,30.05,7.0,-3.0,-14.66,24.54,2.0,-4.0,5.0,,30.05%
other,freelancer,part-time,male,18-24,never,22.23,-21.1,10.0,-3.5,2.75,5.0,10.0,5.0,2.0,,-21.10%
manufacturing,freelancer,part-time,male,18-24,occasionally,9.28,17.54,8.0,1.5,-3.21,29.94,7.0,3.0,10.0,,17.54%
healthcare,freelancer,unemployed,female,25-34,occasionally,7.25,-46.39,6.0,4.5,-13.72,22.29,2.0,-5.0,4.0,,-46.39%
healthcare,staff,part-time,male,45-54,often,4.65,-28.38,9.0,-1.0,-10.88,29.67,2.0,3.0,7.0,,-28.38%
healthcare,intern,self-employed,other,18-24,always,27.71,-20.68,3.0,2.0,8.12,49.38,2.0,1.0,1.0,,-20.68%
healthcare,executive,part-time,other,45-54,rarely,0.59,-32.05,10.0,-0.5,4.36,32.59,4.0,-4.0,9.0,,-32.05%
manufacturing,freelancer,part-time,female,35-44,never,10.68,-36.67,10.0,-3.5,-16.18,37.98,1.0,-4.0,10.0,,-36.67%
healthcare,intern,part-time,other,55+,never,10.77,3.76,9.0,-3.0,6.64,16.84,2.0,-1.0,1.0,,3.76%
technology,freelancer,full-time,other,45-54,always,2.47,-6.28,4.0,-4.5,-5.81,33.59,3.0,-1.0,5.0,,-6.28%
retail,intern,full-time,female,55+,often,-10.59,4.09,7.0,2.0,3.0,39.18,7.0,-2.0,7.0,,4.09%
healthcare,executive,self-employed,other,45-54,often,14.84,9.31,9.0,-2.0,-6.63,29.39,10.0,4.0,8.0,,9.31%
finance,manager,self-employed,other,35-44,always,9.08,4.31,2.0,4.5,6.86,34.72,1.0,4.0,2.0,,4.31%
other,manager,full-time,other,18-24,often,17.5,12.16,2.0,-1.5,-16.6,32.98,6.0,-3.0,4.0,,12.16%
manufacturing,executive,self-employed,male,35-44,never,2.0,-5.89,9.0,-3.0,-7.55,36.53,3.0,-2.0,2.0,,-5.89%
finance,executive,full-time,female,18-24,never,28.31,-25.24,3.0,-3.0,7.16,27.04,3.0,4.0,4.0,,-25.24%
healthcare,freelancer,unemployed,female,18-24,rarely,-3.15,16.66,9.0,2.0,-28.93,33.09,4.0,-2.0,6.0,,16.66%
manufacturing,manager,part-time,female,55+,always,35.68,-14.28,5.0,-1.0,-5.46,56.08,4.0,-4.0,6.0,,-14.28%
retail,intern,part-time,male,35-44,occasionally,-16.21,-21.71,6.0,1.5,-8.94,39.03,7.0,-1.0,2.0,,-21.71%
healthcare,freelancer,self-employed,male,45-54,occasionally,16.52,-4.56,2.0,6.5,1.85,18.69,3.0,-1.0,4.0,-0.2,-4.56%
finance,staff,full-time,female,35-44,rarely,17.13,-22.26,8.0,-0.2,5.7,33.87,8.0,-1.0,4.0,,-22.26%
healthcare,executive,full-time,male,55+,rarely,-1.93,-12.85,9.0,0.0,2.3,35.14,8.0,5.0,1.0,,-12.85%
technology,freelancer,self-employed,female,18-24,often,16.37,5.88,2.0,-0.5,-2.59,41.52,7.0,5.0,2.0,,5.88%
other,staff,full-time,male,55+,rarely,29.19,3.97,6.0,3.5,-4.59,23.05,2.0,4.0,3.0,,3.97%
finance,manager,unemployed,other,25-34,rarely,-23.25,-20.96,6.0,3.5,-8.43,30.46,5.0,-5.0,5.0,,-20.96%
manufacturing,executive,part-time,other,25-34,occasionally,17.54,-13.75,8.0,-0.2,-2.9,29.8,6.0,0.0,8.0,,-13.75%
healthcare,intern,self-employed,female,45-54,often,-27.4,16.49,10.0,-3.5,9.6,25.22,10.0,5.0,6.0,,16.49%
technology,executive,self-employed,male,55+,rarely,-4.48,7.43,5.0,-5.0,-13.31,17.7,4.0,-4.0,3.0,,7.43%
healthcare,intern,full-time,male,45-54,rarely,34.44,37.0,9.0,-1.0,-9.02,32.04,10.0,1.0,6.0,,37%
manufacturing,executive,self-employed,other,45-54,often,1.27,23.1,1.0,4.0,-5.76,25.94,5.0,-2.0,7.0,,23.10%
healthcare,executive,unemployed,male,25-34,always,-7.61,18.39,9.0,-5.0,5.01,31.88,9.0,-1.0,6.0,,18.39%
education,executive,full-time,male,45-54,often,7.03,-32.76,10.0,-0.2,-2.77,42.53,7.0,-1.0,10.0,,-32.76%
technology,intern,full-time,male,25-34,occasionally,9.41,11.78,7.0,0.0,4.83,31.34,2.0,-1.0,6.0,,11.78%
technology,intern,full-time,male,18-24,always,-17.48,-3.06,4.0,-1.5,5.34,45.77,1.0,-4.0,1.0,,-3.06%
manufacturing,executive,full-time,male,55+,never,-5.77,-12.52,3.0,-2.0,0.92,7.71,2.0,-1.0,3.0,,-12.52%
other,staff,unemployed,male,45-54,often,32.46,-1.64,10.0,-0.5,-15.64,40.49,3.0,-3.0,7.0,,-1.64%
education,freelancer,full-time,male,25-34,occasionally,37.87,15.9,6.0,-3.5,11.61,23.4,2.0,-2.0,4.0,,15.90%
finance,freelancer,self-employed,female,35-44,always,8.45,9.52,1.0,3.0,9.12,29.83,3.0,-4.0,4.0,,9.52%
healthcare,freelancer,unemployed,male,45-54,often,-8.59,-19.07,3.0,-3.0,-4.36,29.95,10.0,-2.0,7.0,,-19.07%
retail,intern,part-time,other,18-24,rarely,41.44,13.85,2.0,6.5,-18.82,38.62,9.0,3.0,9.0,-0.2,13.85%
healthcare,intern,part-time,female,18-24,often,33.92,-17.25,9.0,3.0,-20.6,31.36,4.0,2.0,2.0,,-17.25%
healthcare,staff,self-employed,male,35-44,never,20.18,2.83,3.0,-4.0,-2.46,42.01,9.0,5.0,9.0,,2.83%
finance,freelancer,self-employed,other,25-34,often,-2.19,-7.07,2.0,1.5,-12.02,14.38,3.0,-3.0,3.0,,-7.07%
healthcare,freelancer,unemployed,female,45-54,always,9.26,-6.38,4.0,2.5,-22.17,24.54,1.0,-5.0,6.0,,-6.38%
education,executive,part-time,other,25-34,always,7.59,14.32,2.0,-3.5,-20.79,53.24,5.0,-5.0,4.0,,14.32%
education,intern,part-time,male,18-24,often,14.96,-21.3,1.0,6.0,-9.7,50.76,10.0,0.0,1.0,-0.2,-21.30%
technology,freelancer,part-time,male,25-34,always,31.77,35.9,6.0,2.5,-3.05,31.37,10.0,-3.0,9.0,,35.90%
manufacturing,staff,part-time,male,18-24,rarely,23.19,-41.42,10.0,-0.2,9.06,25.69,2.0,-2.0,6.0,,-41.42%
other,staff,part-time,male,25-34,often,-6.16,-15.95,8.0,-4.5,-0.16,42.12,4.0,-5.0,8.0,,-15.95%
retail,freelancer,full-time,female,35-44,rarely,30.65,2.4,10.0,-4.5,-8.81,30.13,2.0,2.0,2.0,,2.40%
healthcare,intern,self-employed,female,55+,rarely,14.7,6.69,10.0,2.5,-1.2,26.5,2.0,-5.0,7.0,,6.69%
healthcare,staff,full-time,other,35-44,occasionally,20.31,-3.01,2.0,0.3,-2.09,30.11,3.0,-1.0,6.0,,-3.01%
finance,executive,part-time,male,35-44,often,32.0,-5.65,9.0,1.0,2.4,20.19,5.0,0.0,2.0,,-5.65%
manufacturing,staff,unemployed,other,55+,always,-6.67,6.71,3.0,6.0,-5.4,36.55,4.0,-4.0,2.0,-0.2,6.71%
education,manager,unemployed,female,55+,rarely,9.46,-8.62,8.0,-4.5,5.36,25.12,2.0,1.0,4.0,,-8.62%
retail,manager,part-time,male,45-54,occasionally,2.03,23.86,8.0,2.5,3.24,31.03,10.0,1.0,4.0,,23.86%
technology,intern,part-time,male,45-54,often,-13.52,15.29,3.0,-1.0,-4.17,17.69,2.0,-5.0,3.0,,15.29%
education,freelancer,unemployed,female,35-44,often,15.2,15.96,3.0,-4.0,-6.19,42.54,6.0,-2.0,8.0,,15.96%
manufacturing,intern,full-time,female,35-44,never,47.67,-22.32,6.0,-2.5,4.2,21.29,7.0,-2.0,7.0,,-22.32%
other,intern,full-time,female,18-24,never,-17.6,-2.09,1.0,-3.0,-12.13,9.45,10.0,-1.0,2.0,,-2.09%
technology,intern,part-time,female,18-24,rarely,9.52,-8.01,4.0,-0.5,-20.07,42.99,6.0,-5.0,3.0,,-8.01%
other,intern,full-time,female,45-54,never,19.61,-20.61,1.0,1.0,-20.12,16.53,7.0,-5.0,10.0,,-20.61%
finance,executive,unemployed,male,45-54,rarely,11.85,5.7,3.0,6.0,-12.96,22.18,1.0,1.0,9.0,-0.2,5.70%
finance,executive,full-time,female,18-24,always,8.3,-15.25,9.0,-1.0,1.6,46.42,6.0,3.0,5.0,,-15.25%
healthcare,staff,part-time,male,18-24,rarely,-9.49,10.61,5.0,0.3,-9.23,43.84,3.0,-5.0,2.0,,10.61%
other,manager,unemployed,male,25-34,never,13.49,-23.9,5.0,-2.0,-2.95,26.81,1.0,-4.0,3.0,,-23.90%
manufacturing,intern,full-time,female,25-34,always,-1.35,32.38,4.0,1.5,-9.95,48.26,8.0,0.0,8.0,,32.38%
retail,staff,self-employed,female,18-24,never,-22.85,-19.43,3.0,-1.0,-9.87,9.98,4.0,0.0,4.0,,-19.43%
technology,manager,unemployed,male,25-34,rarely,27.92,1.89,5.0,-3.0,-15.25,25.87,10.0,-4.0,2.0,,1.89%
education,freelancer,unemployed,female,55+,occasionally,24.38,13.84,4.0,0.5,-5.92,24.68,8.0,3.0,2.0,,13.84%
manufacturing,executive,self-employed,female,45-54,often,10.77,-15.41,8.0,-3.5,-6.75,42.04,10.0,-2.0,6.0,,-15.41%
manufacturing,manager,self-employed,female,45-54,never,13.44,15.05,4.0,-2.5,-0.87,27.97,4.0,1.0,8.0,,15.05%
finance,freelancer,unemployed,other,18-24,rarely,26.11,-28.58,8.0,1.5,-2.12,41.33,4.0,0.0,7.0,,-28.58%
other,manager,self-employed,male,35-44,always,13.37,26.04,6.0,-1.5,-6.97,18.42,10.0,5.0,4.0,,26.04%
healthcare,executive,part-time,other,18-24,never,23.56,-2.22,5.0,1.0,-20.06,13.69,5.4,5.0,2.0,,-2.22%
healthcare,executive,part-time,female,25-34,never,5.54,-13.93,4.0,0.5,5.71,33.0,6.0,-3.0,9.0,,-13.93%
technology,staff,part-time,other,35-44,often,29.68,-7.98,4.0,4.5,-5.85,20.98,9.0,2.0,4.0,,-7.98%
finance,intern,unemployed,female,25-34,rarely,14.81,14.18,4.0,-0.5,-4.2,33.06,5.0,1.0,9.0,,14.18%
manufacturing,manager,self-employed,other,55+,occasionally,12.91,-16.19,9.0,-1.0,11.0,41.34,10.0,3.0,5.0,,-16.19%
retail,manager,self-employed,female,25-34,always,-9.05,-16.99,4.0,5.5,4.08,39.72,8.0,-3.0,7.0,-0.2,-16.99%
finance,freelancer,full-time,other,55+,rarely,14.3,-8.93,9.0,-2.0,-0.54,10.79,8.0,-5.0,5.0,,-8.93%
technology,executive,full-time,other,55+,always,-2.48,-28.54,10.0,1.5,-5.02,38.78,4.0,-4.0,2.0,,-28.54%
technology,manager,self-employed,other,25-34,never,0.43,33.41,6.0,0.3,-5.12,34.59,10.0,5.0,6.0,,33.41%
finance,executive,self-employed,male,25-34,often,-2.23,-16.33,10.0,-0.2,-2.6,50.39,9.0,-5.0,7.0,,-16.33%
technology,manager,self-employed,other,55+,often,-5.99,13.13,7.0,-5.0,-0.93,37.08,9.0,5.0,6.0,,13.13%
finance,staff,unemployed,male,35-44,occasionally,41.87,-0.81,10.0,-0.2,12.11,20.23,5.0,-1.0,3.0,,-0.81%
education,intern,self-employed,female,55+,often,29.97,-21.19,3.0,-4.0,19.73,52.38,6.0,4.0,10.0,,-21.19%
finance,manager,full-time,other,45-54,never,9.41,-4.12,8.0,0.5,-2.1,28.21,5.0,-4.0,8.0,,-4.12%
other,executive,unemployed,female,55+,occasionally,-8.34,14.18,3.0,1.0,-26.53,20.88,3.0,-3.0,3.0,,14.18%
finance,staff,self-employed,female,35-44,rarely,11.07,-4.27,1.0,-2.0,-14.52,28.43,8.0,2.0,5.0,,-4.27%
technology,manager,full-time,other,45-54,often,-9.4,18.86,10.0,-0.5,13.11,37.97,9.0,4.0,9.0,,18.86%
other,freelancer,unemployed,male,18-24,occasionally,-0.44,17.93,5.0,0.0,2.19,23.63,4.0,-1.0,5.5,,17.93%
technology,intern,self-employed,other,18-24,never,-3.77,17.38,2.0,2.5,-0.74,23.48,9.0,-2.0,7.0,,17.38%
healthcare,manager,self-employed,female,35-44,always,9.41,-14.19,10.0,2.5,-6.67,51.06,9.0,-1.0,7.0,,-14.19%
healthcare,staff,self-employed,female,55+,always,4.06,-24.6,6.0,-0.2,-16.89,37.04,7.0,4.0,5.0,,-24.60%
other,freelancer,unemployed,other,25-34,never,26.03,-17.27,10.0,-1.5,11.78,32.08,8.0,0.0,2.0,,-17.27%
education,staff,full-time,male,35-44,never,19.06,-0.58,9.0,-5.0,-13.23,2.45,3.0,1.0,5.0,,-0.58%
healthcare,staff,full-time,male,45-54,always,9.41,10.42,1.0,7.0,2.29,62.18,5.0,3.0,7.0,-0.2,10.42%
finance,freelancer,part-time,female,45-54,occasionally,-12.19,-45.43,4.0,2.5,-18.01,30.57,3.0,-5.0,7.0,,-45.43%
technology,staff,self-employed,female,18-24,always,28.89,-0.66,1.0,2.0,-7.15,50.73,7.0,-2.0,4.0,,-0.66%
healthcare,freelancer,part-time,male,45-54,never,27.2,2.66,1.0,0.0,4.93,22.19,6.0,3.0,1.0,,2.66%
healthcare,manager,part-time,other,35-44,often,-4.6,-9.55,8.0,3.5,-7.5,26.76,3.0,-1.0,6.0,,-9.55%
education,freelancer,full-time,female,45-54,rarely,25.11,24.83,2.0,3.5,-8.68,24.64,9.0,2.0,3.0,,24.83%
other,freelancer,unemployed,male,35-44,often,15.04,7.94,1.0,5.0,-4.89,15.91,1.0,-5.0,5.0,-0.2,7.94%
other,intern,unemployed,female,25-34,often,6.59,22.2,8.0,2.5,-18.36,41.88,10.0,-2.0,4.0,,22.20%
manufacturing,freelancer,full-time,other,18-24,never,-2.36,-6.32,4.0,-3.5,-20.24,21.94,3.0,3.0,2.0,,-6.32%
education,freelancer,unemployed,male,18-24,always,-0.79,17.25,3.0,1.0,2.14,38.08,10.0,-5.0,7.0,,17.25%
finance,manager,full-time,female,35-44,occasionally,40.75,30.7,4.0,-0.5,-9.22,37.53,7.0,-5.0,5.0,,30.70%
other,intern,self-employed,other,55+,often,10.01,23.73,5.0,-1.0,2.06,35.38,3.0,-2.0,7.0,,23.73%
technology,executive,full-time,female,18-24,always,21.73,-22.34,1.0,6.0,6.18,46.07,3.0,-3.0,9.0,-0.2,-22.34%
education,manager,self-employed,other,18-24,occasionally,9.41,-5.57,1.0,7.0,6.99,39.62,2.0,1.0,4.0,-0.2,-5.57%
healthcare,manager,unemployed,other,35-44,often,-1.7,-8.4,3.0,-2.0,-21.21,29.51,9.0,5.0,5.0,,-8.40%
technology,executive,self-employed,male,25-34,occasionally,26.23,6.79,6.0,1.5,-11.98,21.65,4.0,-3.0,9.0,,6.79%
technology,freelancer,unemployed,other,25-34,always,-10.24,13.23,1.0,4.0,0.38,22.77,10.0,-5.0,10.0,,13.23%
healthcare,staff,unemployed,female,45-54,rarely,3.77,-17.78,2.0,0.5,0.53,26.23,5.4,5.0,4.0,,-17.78%
education,intern,part-time,other,45-54,always,9.41,-2.14,7.0,1.0,17.49,44.52,2.0,4.0,5.0,,-2.14%
healthcare,staff,unemployed,other,35-44,never,11.67,-40.9,1.0,6.0,-14.08,6.76,9.0,-4.0,5.0,-0.2,-40.90%
manufacturing,executive,part-time,male,55+,occasionally,7.31,25.34,7.0,1.0,6.68,44.2,7.0,4.0,8.0,,25.34%
technology,manager,part-time,other,35-44,rarely,15.94,-12.25,4.0,-2.5,-1.28,16.78,10.0,-2.0,4.0,,-12.25%
retail,manager,part-time,other,55+,occasionally,20.39,-3.88,10.0,-0.2,-21.4,8.96,5.0,-5.0,4.0,,-3.88%
retail,intern,full-time,female,25-34,occasionally,21.02,-9.19,6.0,2.5,-10.48,44.95,7.0,-5.0,7.0,,-9.19%
finance,manager,full-time,male,18-24,often,-4.79,18.92,8.0,-0.2,-2.37,15.27,4.0,2.0,5.0,,18.92%
other,manager,full-time,male,35-44,never,5.74,-61.25,9.0,1.0,-22.04,29.64,10.0,1.0,6.0,,-61.25%
healthcare,intern,part-time,male,35-44,occasionally,27.92,-3.33,6.0,-2.5,-25.74,37.21,7.0,2.0,6.0,,-3.33%
healthcare,intern,full-time,other,55+,often,23.42,-6.62,9.0,-0.2,-22.61,43.2,2.0,-2.0,6.0,,-6.62%
finance,executive,part-time,male,25-34,always,-10.59,-11.07,4.0,4.5,-2.41,34.77,7.0,0.0,10.0,,-11.07%
finance,manager,self-employed,other,25-34,often,15.27,31.52,6.0,-0.2,-9.85,40.03,4.0,-3.0,5.0,,31.52%
finance,manager,self-employed,other,55+,never,-19.67,-21.75,8.0,-3.5,-11.2,30.48,4.0,5.0,5.0,,-21.75%
technology,executive,self-employed,female,25-34,never,10.7,10.94,9.0,1.0,-10.86,10.14,1.0,2.0,9.0,,10.94%
manufacturing,freelancer,unemployed,female,45-54,always,38.47,5.63,3.0,4.0,-19.24,49.76,3.0,-2.0,8.0,,5.63%
healthcare,freelancer,part-time,female,18-24,rarely,-4.22,24.23,2.0,-0.5,-9.56,34.31,5.0,-3.0,4.0,,24.23%
technology,freelancer,self-employed,female,35-44,often,-2.51,-16.34,6.0,2.5,-23.2,37.93,5.0,-2.0,7.0,,-16.34%
finance,executive,full-time,female,18-24,often,21.46,-16.66,4.0,0.5,6.88,29.62,2.0,0.0,8.0,,-16.66%
healthcare,manager,self-employed,other,35-44,always,-13.14,21.42,1.0,-3.0,11.92,49.35,4.0,5.0,9.0,,21.42%
technology,executive,self-employed,other,45-54,always,0.51,4.51,8.0,2.5,-28.26,45.08,1.0,1.0,5.0,,4.51%
manufacturing,executive,self-employed,male,25-34,rarely,18.95,-35.4,9.0,-2.0,-4.98,14.84,9.0,1.0,3.0,,-35.40%
technology,freelancer,unemployed,other,55+,rarely,0.49,-15.29,9.0,1.0,-9.04,21.33,1.0,-2.0,4.0,,-15.29%
manufacturing,staff,full-time,other,45-54,never,6.46,6.73,2.0,-2.5,-6.74,28.19,6.0,2.0,10.0,,6.73%
finance,manager,part-time,female,18-24,often,21.16,12.26,9.0,-2.0,5.02,36.15,7.0,1.0,6.0,,12.26%
manufacturing,freelancer,full-time,other,55+,often,16.32,-17.08,7.0,-5.0,-9.66,45.86,3.0,-4.0,10.0,,-17.08%
healthcare,staff,part-time,female,25-34,always,14.0,-60.79,5.0,-2.0,-5.88,36.58,1.0,2.0,5.0,,-60.79%
finance,staff,unemployed,male,45-54,never,4.91,6.96,7.0,1.0,24.79,10.0,7.0,3.0,9.0,,6.96%
healthcare,intern,unemployed,male,55+,often,15.55,-28.91,9.0,-1.0,-6.11,56.94,3.0,-1.0,3.0,,-28.91%
retail,manager,unemployed,other,45-54,never,8.14,-44.35,8.0,3.5,12.66,3.19,10.0,-2.0,2.0,,-44.35%
education,staff,unemployed,male,45-54,never,16.87,-59.65,6.0,2.5,0.02,15.0,6.0,-2.0,6.0,,-59.65%
manufacturing,freelancer,part-time,other,25-34,always,2.55,14.28,4.0,1.5,-10.54,42.8,6.0,-2.0,7.0,,14.28%
education,intern,self-employed,male,35-44,never,7.26,2.07,1.0,-3.0,-12.21,30.13,4.0,0.0,5.0,,2.07%
education,manager,part-time,female,55+,rarely,-4.85,-7.51,6.0,-4.5,-5.07,31.46,6.0,5.0,1.0,,-7.51%
manufacturing,executive,full-time,female,25-34,rarely,9.47,26.28,3.0,1.0,-16.26,48.11,10.0,-2.0,3.0,,26.28%
finance,freelancer,unemployed,female,45-54,occasionally,-2.17,9.75,6.0,0.5,-13.64,28.82,4.0,1.0,3.0,,9.75%
retail,staff,unemployed,female,25-34,always,-6.71,29.33,6.0,-3.5,-9.23,31.27,8.0,1.0,4.0,,29.33%
healthcare,staff,full-time,other,35-44,occasionally,13.88,-29.85,4.0,3.5,-2.07,27.8,9.0,-1.0,10.0,,-29.85%
technology,freelancer,part-time,male,55+,rarely,13.19,-1.69,2.0,2.5,13.26,21.8,2.0,-1.0,6.0,,-1.69%
healthcare,staff,self-employed,other,35-44,occasionally,21.74,-36.83,9.0,-2.0,-9.85,29.32,7.0,4.0,5.0,,-36.83%
technology,intern,self-employed,female,18-24,always,3.53,-5.59,2.0,1.5,-0.38,30.18,9.0,2.0,1.0,,-5.59%
healthcare,manager,full-time,other,55+,always,16.12,-3.0,3.0,-4.0,-21.28,47.84,9.0,1.0,6.0,,
manufacturing,intern,self-employed,male,35-44,never,18.26,7.53,10.0,-3.5,5.6,23.71,5.0,1.0,9.0,,7.53%
retail,staff,part-time,other,45-54,often,16.67,0.41,1.0,6.0,-22.22,22.36,1.0,0.0,1.0,-0.2,0.41%
technology,executive,part-time,male,55+,never,-2.38,8.97,7.0,-4.0,2.98,29.68,6.0,1.0,8.0,,8.97%
other,manager,full-time,other,55+,always,12.24,13.57,1.0,3.0,-5.81,31.89,8.0,1.0,8.0,,13.57%
finance,manager,part-time,male,25-34,rarely,15.46,38.6,9.0,2.0,-6.21,13.17,1.0,4.0,3.0,,38.60%
healthcare,freelancer,unemployed,male,45-54,rarely,10.11,-6.81,1.0,-1.0,-8.0,25.87,2.0,-4.0,9.0,,-6.81%
healthcare,freelancer,full-time,female,18-24,never,-21.3,-21.32,5.0,-1.0,-18.01,2.42,1.0,4.0,8.0,,-21.32%
technology,executive,part-time,male,35-44,always,12.41,1.42,7.0,0.0,-17.48,45.9,5.0,-4.0,3.0,,1.42%
finance,manager,full-time,female,25-34,rarely,43.19,-17.55,3.0,-2.0,-4.98,-3.39,2.0,4.0,10.0,,-17.55%
finance,executive,self-employed,female,35-44,always,9.41,25.14,9.0,2.0,-4.88,29.71,10.0,1.0,5.0,,25.14%
manufacturing,freelancer,part-time,female,18-24,rarely,-0.92,-9.66,8.0,-0.2,-8.08,40.75,10.0,4.0,3.0,,-9.66%
other,freelancer,unemployed,other,18-24,always,15.6,-12.81,3.0,1.0,-0.57,33.13,4.0,1.0,5.0,,-12.81%
manufacturing,manager,part-time,other,55+,occasionally,14.69,-11.93,5.0,2.0,-3.99,24.88,1.0,1.0,9.0,,-11.93%
manufacturing,intern,full-time,other,18-24,always,27.89,10.87,7.0,-3.0,-12.93,52.74,7.0,-1.0,4.0,,10.87%
manufacturing,staff,full-time,other,35-44,always,-8.87,-5.15,4.0,3.5,19.61,32.07,8.0,-5.0,6.0,,-5.15%
manufacturing,freelancer,part-time,male,45-54,never,20.97,-15.33,5.0,2.0,2.41,27.63,5.0,-4.0,3.0,,-15.33%
manufacturing,freelancer,unemployed,male,45-54,occasionally,18.86,31.81,3.0,2.0,-3.73,41.74,2.0,3.0,3.0,,31.81%
retail,intern,unemployed,other,55+,often,7.87,-21.62,9.0,-1.0,-10.14,39.79,8.0,2.0,5.0,,-21.62%
finance,intern,unemployed,male,35-44,never,15.08,-4.29,5.5,-0.2,4.53,5.55,1.0,2.0,8.0,,-4.29%
manufacturing,executive,full-time,male,18-24,often,25.44,8.55,5.5,-2.0,-12.88,28.96,7.0,4.0,8.0,,8.55%
finance,executive,part-time,female,18-24,rarely,23.08,-36.13,5.5,-2.0,-13.72,52.14,1.0,-5.0,3.0,,-36.13%
finance,staff,self-employed,female,35-44,often,-7.15,4.61,10.0,-0.2,11.93,30.09,6.0,0.0,8.0,,4.61%
education,staff,full-time,female,25-34,always,22.3,-22.1,2.0,6.5,-4.69,69.86,6.0,3.0,8.0,-0.2,-22.10%
retail,manager,unemployed,female,18-24,often,9.03,12.96,7.0,-4.0,-12.63,52.09,5.0,2.0,3.0,,12.96%
manufacturing,executive,part-time,male,25-34,never,11.09,-22.75,7.0,-0.2,-4.94,25.19,2.0,-3.0,10.0,,-22.75%
healthcare,freelancer,unemployed,other,55+,never,11.1,11.36,5.0,-2.0,3.5,22.97,2.0,-2.0,10.0,,11.36%
technology,executive,self-employed,male,45-54,often,7.75,17.62,9.0,2.0,1.21,30.35,9.0,-3.0,2.0,,17.62%
other,freelancer,unemployed,male,55+,never,27.88,15.73,3.0,-2.0,4.74,19.11,5.0,0.0,10.0,,15.73%
healthcare,intern,unemployed,male,45-54,never,8.74,3.03,4.0,5.5,-17.5,13.11,5.0,3.0,2.0,-0.2,3.03%
retail,executive,self-employed,female,55+,often,-6.79,-5.13,1.0,0.0,4.49,34.36,7.0,2.0,9.0,,-5.13%
technology,intern,part-time,female,35-44,occasionally,4.1,-14.53,6.0,2.5,-6.79,16.38,6.0,4.0,7.0,,-14.53%
retail,staff,full-time,female,25-34,occasionally,12.68,27.42,4.0,-2.5,-4.11,15.84,2.0,-2.0,6.0,,27.42%
finance,staff,part-time,other,45-54,rarely,28.44,-14.49,1.0,2.0,7.09,38.01,1.0,-4.0,7.0,,-14.49%
technology,manager,self-employed,male,18-24,often,19.05,-21.74,2.0,1.5,2.03,3.88,5.0,2.0,8.0,,-21.74%
finance,executive,unemployed,other,25-34,often,-2.76,11.81,3.0,2.0,-1.49,43.86,4.0,2.0,1.0,,11.81%
healthcare,intern,part-time,female,18-24,never,47.28,-20.42,9.0,1.0,-24.84,1.06,3.0,5.0,8.0,,-20.42%
healthcare,freelancer,full-time,other,25-34,always,13.97,-23.0,8.0,-0.5,-5.46,46.3,2.0,0.0,3.0,,-23%
technology,staff,self-employed,male,25-34,never,29.13,-32.37,7.0,-0.2,-12.85,17.92,10.0,2.0,3.0,,-32.37%
technology,staff,part-time,male,55+,never,7.72,-11.66,4.0,2.5,2.11,33.21,2.0,3.0,6.0,,-11.66%
manufacturing,freelancer,full-time,female,45-54,occasionally,18.0,-2.15,1.0,1.0,4.91,26.68,4.0,-5.0,4.0,,-2.15%
retail,intern,self-employed,female,45-54,often,22.59,-3.0,8.0,1.5,-8.02,14.9,2.0,3.0,4.0,,
manufacturing,intern,full-time,other,25-34,never,28.27,17.03,4.0,4.5,-11.67,18.12,4.0,-4.0,4.0,,17.03%
retail,executive,self-employed,female,35-44,occasionally,25.86,9.04,3.0,0.0,10.56,31.6,3.0,-5.0,10.0,,9.04%
manufacturing,executive,unemployed,female,35-44,rarely,23.08,-8.32,9.0,-3.0,-11.03,23.68,9.0,2.0,9.0,,-8.32%
finance,manager,part-time,male,18-24,occasionally,5.27,-8.96,10.0,-0.2,-16.95,35.75,7.0,2.0,8.0,,-8.96%
technology,staff,full-time,female,18-24,occasionally,1.42,8.2,4.0,5.5,-13.33,24.36,3.0,5.0,5.5,-0.2,8.20%
healthcare,executive,self-employed,female,55+,occasionally,14.99,23.45,4.0,-2.5,-10.55,17.37,5.4,-0.1,5.5,,23.45%
retail,intern,full-time,male,25-34,never,24.0,-1.97,9.0,2.0,-13.61,10.0,5.4,-0.1,5.5,,-1.97%
retail,freelancer,full-time,male,18-24,never,6.66,-10.38,2.0,4.5,3.45,14.84,5.4,-0.1,5.5,,-10.38%
healthcare,intern,part-time,other,18-24,rarely,25.98,-22.36,5.0,1.0,-26.98,19.76,5.4,-0.1,5.5,,-22.36%
